_id,words,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,timestamp
64b0324473193c702ea1a5c3,general make but early of more very never any late time like small these change time think work for life one eye begin about form seem last about and early,,145.79,98.06,153.72,70.13,"147,2,0,0",words,30,-1,2,12.1,0,5.95,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689268804000
64b0226173193c702e7fb399,little home good school life down get set like well work can help still around increase take do early the these place time same you not would what old be,,145.6,98.04,149.51,79.41,"149,2,0,0",words,30,-1,7,12.28,0,36.78,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264737000
64b021c273193c702e7fae44,of problem word public can most set here consider way will hand get be can consider you very become could person that develop part will against take govern find at,,130.49,97.53,142.84,85.01,"148,2,0,1",words,30,-1,3,13.61,0,13.48,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264578000
64b021a173193c702e7fad07,real work face another hand small both off down people again hand on out think back show do set help follow that when no only set than too up lead,,128.82,98.66,128.82,78.39,"146,0,0,0",words,30,-1,7,13.6,0,31.02,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264545000
64b0216a73193c702e7fab2d,the take call small good must see work group so because still child will last seem late little they large around want before up since own seem think from where,,137.03,97.47,150.36,89.23,"144,2,0,1",words,30,-1,2,12.61,0,5.56,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264490000
64b0214f73193c702e7faa41,how school would after should however change child while people at first any play say after in which any more who he general only many again world tell also see,,128.84,98.76,132.97,81.82,"156,0,1,0",words,30,-1,4,14.53,0,21.25,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264463000
64b0212373193c702e7fa8c5,here which all first face of into come need off from but make plan it about call than great these thing take move long never think develop you great consider,,144.5,98.09,150.24,84.7,"151,2,0,0",words,30,-1,1,12.54,0,0.62,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264419000
64b020fb73193c702e7fa768,should interest set own head open end move out since here some we part point other think home we she must last from will now open work last present group,,136.36,98.04,143.89,79.77,"145,2,0,0",words,30,-1,4,12.76,0,15.72,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264379000
64b020d573193c702e7fa626,nation at after leave may year into people never call so think still line which know without good change last point there face these because than such just many life,,147.01,98.18,151.61,73.14,"160,2,0,0",words,30,-1,0,13.06,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264341000
64b020b873193c702e7fa4fb,just when how up turn many word while high small head other now develop very feel if another with off same again look well only general nation change develop end,,135.77,98.19,135.77,70.59,"161,0,0,0",words,30,-1,1,14.23,0,0.76,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264312000
64b0209573193c702e7fa3aa,well when change people group we general these as get need real home day they can than if tell end keep might govern good part line well use by from,,134.52,95.95,144.27,76,"138,3,1,1",words,30,-1,0,12.31,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264277000
64b0207e73193c702e7fa2eb,there look another we keep where she general never a few more where be old early only develop could house seem get turn should life through tell most small public,,126.23,94.05,136.19,69.56,"152,2,2,0",words,30,-1,2,14.45,0,9.38,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264254000
64b01fcf73193c702e7f9cce,which world some need open world large since house they help come school they more work may can mean work new while few even keep come you first now turn,,127.99,95.54,140.7,75.89,"141,1,2,0",words,30,-1,13,13.22,0,56.4,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689264079000
64b01f7973193c702e78ea7c,but this feel which general then like into to little all tell if she present as each feel use need out when think against consider a possible change since people,,135.38,96.88,147.35,68.51,"147,3,0,1",words,30,-1,0,13.03,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263993000
64b01f6673193c702e78e9d7,program hand then out off here about after plan since without eye as here might in what would a they another must point these we around any lead world under,,155.35,100,155.35,72.46,"156,0,0,0",words,30,-1,0,12.05,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263974000
64b01f5573193c702e78e94e,also down want who part last call get think state find to since those face year other feel develop place new between off after own number increase also few change,,127.94,95.81,135.47,73.38,"153,2,0,0",words,30,-1,4,14.35,0,9.52,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263957000
64b01f1a73193c702e78e73c,present open set each than look how mean may first order may there end say when also what she thing do now those use find should about last little turn,,144.27,99.34,144.27,83.96,"151,0,0,0",words,30,-1,4,12.56,0,4.97,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263898000
64b01efe73193c702e78e65b,open against too work open which part than problem then hold stand late can with say can know eye time line from of now over off too during early call,,144.32,98,148.27,75.58,"146,2,0,0",words,30,-1,0,12.14,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263870000
64b01ee573193c702e78e570,run form play since both great we not first now and right little because we point little eye face not what change right be do a most number child little,,131.6,98.71,131.6,80.35,"152,0,0,0",words,30,-1,1,13.86,0,7.37,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263845000
64b01e1973193c702e78de09,here turn she most get eye might write after here number day we point during state and nation thing both to interest without where state may those some open the,,144.27,97.52,153.82,83.46,"151,2,1,0",words,30,-1,0,12.56,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263641000
64b01e0873193c702e78dd74,those never order seem just school to set need same then use work find time develop where become present keep that problem without take with will day increase change feel,,137.57,97.67,140.88,76.41,"166,2,0,0",words,30,-1,8,14.48,0,40.83,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263624000
64b01d8173193c702e78d8fb,fact form be since by increase system well seem who they under might so since right interest over such it under by life thing child tell year up now interest,,118.17,91.12,131.48,72.41,"142,3,1,0",words,30,-1,0,14.42,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263489000
64b01d3473193c702e78d661,of way keep show if house which leave around last present point little such so home school lead line small move real those take than child leave much and also,,148.47,99.38,148.47,80.45,"158,0,0,0",words,30,-1,0,12.77,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263412000
64b01d2273193c702e78d5ca,still face want nation few have fact look a since play however a for they large school people small both the go who now stand hold life know through thing,,126.4,96.86,126.4,72.72,"154,0,0,0",words,30,-1,1,14.62,0,1.58,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263394000
64b01d0c73193c702e78d4fe,consider call know through too get well be no against you who good it do begin follow head another it plan person year word so could may under can because,,130.11,96.1,143.21,75.49,"139,3,0,1",words,30,-1,2,12.82,0,2.34,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263372000
64b01c7973193c702e78d017,of so which consider small seem problem so get day over develop feel not people against only well begin against may state from we one here such any right ask,,128.16,94.01,128.16,71.34,"157,0,0,0",words,30,-1,0,14.7,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263225000
64b01c2c73193c702e78cda7,present much into need small begin of then way people know into good over use must call program line then world move day of against so before eye possible very,,121.76,93.53,121.76,70.13,"159,0,0,0",words,30,-1,1,15.67,0,1.65,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689263148000
64af077873193c702e61963c,house thing tell do public for how show by so than in feel last fact form day can for go,,163.21,100,163.21,79.67,"88,0,0,0",words,20,-1,4,6.47,0,14.97,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689192312000
64af074673193c702e6194cf,end up help into there without end or what not system say own we no before up he also plan,,151.47,100,151.47,67.73,"90,0,0,0",words,20,-1,2,7.13,0,10.38,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689192262000
64af072e73193c702e61942f,of you new how the own she these new public like such leave since ask take life where long life,,137.38,92.63,157.24,80.06,"83,5,0,0",words,20,-1,0,7.25,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689192238000
64af071e73193c702e6193d1,down work fact or if leave would year problem by form number up down program interest move show think another,,120.47,92.17,127.49,67.54,"103,2,0,0",words,20,-1,0,10.26,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689192222000
64af070b73193c702e619365,life under off we well course little hold all go course may where up govern other and few high where,,139.47,98.02,146.73,71.58,"96,0,1,0",words,20,-1,0,8.26,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689192203000
64af06fe73193c702e619306,child no play right around most against feel with have where general stand then people like between would could present,,121.21,90.98,144.24,74.21,"100,6,0,0",words,20,-1,3,9.9,0,7.67,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689192190000
64af06e773193c702e619275,after not ask find need here could keep as point even a any state same play early house good even,,159.89,100,159.89,72.51,"97,0,0,0",words,20,-1,1,7.28,0,0.67,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689192167000
64af06ab73193c702e619130,like day hand think be well much too might general only still do few out over or feel place where,,115.71,92.45,115.71,60.38,"97,0,0,0",words,20,-1,0,10.06,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689192107000
64af069873193c702e6190a7,move on who such day go play feel call system good people the end begin by great we old last,,137.5,97.85,145.31,81.16,"88,0,1,0",words,20,-1,13,7.68,0,35.01,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689192088000
64af05be73193c702e5adcde,even this now consider the under as both than while seem small few against man time year then look from,,157.43,97.09,165.46,82.44,"98,2,0,0",words,20,-1,2,7.47,0,3.79,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191870000
64af058473193c702e5adb44,then down turn see same he small much with problem and large you these off this other same school work,,126.32,95.19,137.07,78.71,"94,2,0,0",words,20,-1,0,8.93,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191812000
64af057673193c702e5adae9,could think know work many too time interest say hold no long one change through line give so more may,,150,100,150,66.99,"102,0,0,0",words,20,-1,1,8.16,0,3.33,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191798000
64af056473193c702e5ada7b,get work want nation you help place when lead you set open well good consider around last stand these for,,164.49,100,164.49,91.28,"105,0,0,0",words,20,-1,4,7.66,0,14.8,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191780000
64af054473193c702e5ad99a,form call some not leave state with never state than school tell few a how she other day even with,,132.49,92.93,149.24,81.13,"87,4,0,0",words,20,-1,4,7.88,0,4.72,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191748000
64af052e73193c702e5ad8f5,house child through take such so consider part we may large stand small get play much early house system own,,144.49,93.58,165.78,86.53,"95,4,1,0",words,20,-1,1,7.89,0,1.11,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191726000
64af051e73193c702e5ad88d,very up another not against word here against again group increase interest govern very change at turn or day govern,,126.25,93.16,143.75,72.25,"101,4,0,1",words,20,-1,1,9.6,0,0.9,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191710000
64af050973193c702e5ad803,that school course will while also make new may can will some now increase or follow nation call here develop,,144.9,97.22,151.93,86.22,"103,2,0,1",words,20,-1,4,8.53,0,14.4,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191689000
64af04ea73193c702e5ad73c,present these so again last develop call same thing not face you then look one so many system both do,,136.5,94.12,153,92.41,"91,3,1,0",words,20,-1,7,8,0,9.9,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191658000
64af04ce73193c702e5ad67e,part write but while show home school plan possible end will first program school help find think when can end,,156.58,100,156.58,76.61,"110,0,0,0",words,20,-1,2,8.43,0,2.86,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191630000
64af04bc73193c702e5ad601,just way man course more good say school state follow plan old world govern so well head if well both,,144.06,97.03,150,65.17,"97,2,0,0",words,20,-1,1,8.08,0,3.37,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191612000
64af049c73193c702e5ad522,if when late the can it both without early here consider help now good do one then program without at,,141.98,96.08,154.2,76.42,"93,2,0,0",words,20,-1,0,7.86,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191580000
64af048f73193c702e5ad4cb,place open will against work point give hand good before day but well make or turn know head want up,,130.99,94,150.56,89.69,"87,4,0,0",words,20,-1,1,7.97,0,0.92,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191567000
64af048173193c702e5ad469,still great few come need this make than very just form follow interest with both eye can number well hold,,141.61,97.14,153.28,72.9,"97,2,0,1",words,20,-1,1,8.22,0,1.1,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191553000
64af047073193c702e5ad3f6,school line year time go system one part number you person take high after plan give help last make for,,139.11,93.27,158.98,88.8,"91,4,1,0",words,20,-1,2,7.85,0,2.27,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191536000
64af046073193c702e5ad39d,work never look fact off while the into people take never one must would number consider than he must run,,127.54,92.52,144,66.5,"93,4,0,0",words,20,-1,0,8.75,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191520000
64af045373193c702e5ad345,thing tell about from many this could both he form play set any say order between life system day any,,127.63,94.06,148.17,65.17,"87,4,0,0",words,20,-1,6,8.18,0,11.88,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191507000
64af042973193c702e5ad21d,even off the before should consider state all stand govern mean before real when change govern much because plan up,,147.95,97.39,157.53,91.23,"108,2,0,0",words,20,-1,7,8.76,0,7.71,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191465000
64af03d973193c702e5acff8,first face public world we look after consider out who system show much own or and most such where number,,148.24,100,148.24,84.68,"105,0,0,0",words,20,-1,1,8.5,0,6.5,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191385000
64af03c473193c702e5acf6d,in into than have possible where with that write just state out work line should more might be number help,,115.02,90.99,135.46,63.87,"90,3,1,1",words,20,-1,0,9.39,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191364000
64af03b773193c702e5acf0a,should out call take they against keep those she eye new only make move man person think all may thing,,151.49,99.03,151.49,68.07,"102,0,0,0",words,20,-1,1,8.08,0,0.82,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191351000
64af03a873193c702e5ace8e,end turn such one increase play real mean before still have few so she as give call people increase hold,,125.12,94.23,147.87,79.56,"88,4,0,0",words,20,-1,2,8.44,0,2.21,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191336000
64af039773193c702e5ace07,ask after those such head over order real however little face would have fact group as new can than world,,146,100,146,81.85,"105,0,0,0",words,20,-1,3,8.63,0,13.27,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191319000
64af037a73193c702e5acd31,also help play look some fact ask system out same ask person find at before no from and well general,,119.05,93.52,119.05,56.87,"100,0,0,0",words,20,-1,0,10.08,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191290000
64af036a73193c702e5accb1,under those long same still way govern would in those early out she leave which get like what word part,,167.48,100,167.48,71.88,"103,0,0,0",words,20,-1,0,7.38,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191274000
64af035d73193c702e5acc4e,around house any even those through play year line same without however will early such world while begin so school,,141.5,93.22,156.46,76.59,"104,4,0,0",words,20,-1,0,8.82,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191261000
64af031b73193c702e5aca81,find own and group write not man at with again there each few while child another like real set on,,161.32,98.99,161.32,71.17,"98,0,0,0",words,20,-1,0,7.29,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191195000
64af030e73193c702e5aca22,no because if would time group program leave of move present find system all very during move large do way,,137.07,95.5,137.07,61.91,"106,0,0,0",words,20,-1,3,9.28,0,15.56,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191182000
64af02ed73193c702e5ac947,too end much stand with few play good during way become without the house number hand program back early late,,142.67,89.09,174.37,88.48,"90,7,2,1",words,20,-1,0,7.57,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191149000
64af02d673193c702e5ac88f,part no mean about they but could turn most back still they govern but under number how before where would,,155.09,95.33,167.62,87.55,"99,3,1,0",words,20,-1,1,7.66,0,1.17,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191126000
64af02c873193c702e5770f9,large leave turn never high mean lead as they increase well think before early open seem right on other small,,147.49,97.25,156.09,73.48,"103,2,0,0",words,20,-1,1,8.38,0,0.83,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191111000
64af02b973193c702e57708c,many line life some system no give than just number eye it ask begin by during world around school point,,131.53,94.39,141.02,74.38,"97,2,0,0",words,20,-1,0,8.85,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191097000
64af02ab73193c702e541913,nation make time consider as that in group way over ask because tell lead do govern both great other each,,148.94,99.08,148.94,74.94,"105,0,0,0",words,20,-1,0,8.46,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191083000
64af029e73193c702e5418ba,however follow with possible end about nation program get should move through for would place can also last make both,,128.79,94.12,144.89,79.62,"104,4,0,0",words,20,-1,6,9.69,0,13.44,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191070000
64af026873193c702e541740,of present system give most system set eye begin number develop if of develop still person own point these still,,141.73,97.32,151.18,86.01,"105,2,0,0",words,20,-1,1,8.89,0,2.08,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689191016000
64af024d73193c702e54168b,up because just in find before hold without move to late time want general through present change without first could,,139.39,95.8,148.26,69.14,"110,2,0,0",words,20,-1,2,9.47,0,3.55,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689190989000
64af023873193c702e5415f7,or follow there general point when group now good too want take than both other great ask same leave without,,144.32,100,144.32,81.89,"108,0,0,0",words,20,-1,5,8.98,0,16.16,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689190968000
64af021273193c702e5414fe,public no by may eye other against when again such real early plan he number by of too then without,,117.57,93.14,127.8,66.67,"92,2,1,0",words,20,-1,2,9.39,0,3.36,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689190930000
64af01fc73193c702e54146c,in mean tell never see those use turn word could people long be hold each very make might leave more,,137.23,95.05,154,84.27,"90,2,1,0",words,20,-1,0,7.87,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689190908000
64af01b173193c702e54129d,by than stand those course he who help both leave each under much old child work point problem real first,,150,95.28,157.43,65.86,"101,3,1,0",words,20,-1,1,8.08,0,0.98,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689190833000
64af019e73193c702e54122d,under follow by of there year now begin another look help hand child back go hold head make same good,,133.63,96.23,133.63,58.86,"101,0,0,0",words,20,-1,0,9.07,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689190814000
64aee06573193c702e16f2df,would after move child go give right run increase leave,,154.57,100,154.57,67.48,"55,0,0,0",words,10,-1,2,4.27,0,4.91,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689182309000
64aee05673193c702e16f25c,become both way by same face find not seem how,,149.55,93.48,163.8,69.57,"42,2,0,0",words,10,-1,0,3.37,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689182294000
64aee04e73193c702e16f20c,what order feel around long hold also show never that,,153.62,100,153.62,63.43,"53,0,0,0",words,10,-1,1,4.14,0,1.65,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689182286000
64aee04173193c702e16f1a6,down place then we tell see go course we also,,137.76,93.33,163.14,66.53,"38,2,0,0",words,10,-1,0,3.31,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689182273000
64aee03973193c702e16f175,with such then find since change can problem while at,,155.68,94.34,171.89,92.82,"48,2,0,0",words,10,-1,0,3.7,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689182265000
64aee03173193c702e16f133,change man around will general call head order early hand,,151.46,94.74,166.02,55.46,"52,2,0,0",words,10,-1,1,4.12,0,0.67,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689182257000
64aee02773193c702e16f0e4,more come show against time when place tell general then,,170.13,100,170.13,90.08,"56,0,0,0",words,10,-1,0,3.95,0,0,FALSE,FALSE,english,none,normal,FALSE,FALSE,FALSE,1689182247000
